corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,train_1000_10000,10000,0,cnc_train_100_1000_10000_10,"['the state be alleged they make up hacked sabata petros make up chale , astatine 39 , to death in marikana west along , on be atomic number december 8 destruction , assignation along 2016 , be allegedly over united states department of state the make up sign of the zodiac allocation of low eight cost rdp houses at marikana west cut sign of the zodiac extension 2 astatine ']","['the state be alleged <arg1>they make up hacked sabata petros make up chale , astatine 39 , to death in marikana west along , on be atomic number december 8 destruction , assignation along 2016</arg1> , be allegedly <sig0>over</sig0> united states department of state <arg0>the make up sign of the zodiac allocation of low eight cost rdp houses at marikana west cut sign of the zodiac extension 2</arg0> astatine ']",1
cnc,train_1001_10001,10001,0,cnc_train_101_1001_10001_10,"['the state alleged they hacked sabata petros chale , 39 , to death in marikana west , on december 8 , 2016 , allegedly over the allocation of low cost rdp houses at marikana west extension 2 ']","['the state alleged <arg1>they hacked sabata petros chale , 39 , to death in marikana west , on december 8 , 2016</arg1> , allegedly <sig0>over</sig0> <arg0>the allocation of low cost rdp houses at marikana west extension 2</arg0> ']",1
cnc,train_1002_10002,10002,0,cnc_train_102_1002_10002_10,"[""the farmworkers ' strike strike resumed on tuesday non when strickle make up their make up along demands were not strickle met ""]","[""<arg1>the farmworkers ' strike strike resumed on tuesday</arg1> non when strickle make up <arg0>their make up along demands were not strickle met</arg0> ""]",1
cnc,train_1003_10003,10003,0,cnc_train_103_1003_10003_10,"[""the farmworkers ' strike resumed on tuesday when their demands were not met ""]","[""<arg1>the farmworkers ' strike resumed on tuesday</arg1> when <arg0>their demands were not met</arg0> ""]",1
cnc,train_1004_10004,10004,0,cnc_train_104_1004_10004_10,"['demonstrators have file for a permit to defend a drum up on sabbatum in yuen long , the territory on the outskirt of hong kong where piles of disguised human tail and ticktock commuter train and dissenter with wooden rod and metallic perch , give at to the lowest degree xlv multitude in infirmary ', 'demonstrators have file for a allow to defend a drum up on sabbatum in yuen prospicient , the territory on the outskirt of hong kong where dozens of disguised human tail and ticktock commuter train and dissenter with wooden rod and metallic rods , leaving at to the lowest degree xlv multitude in hospital ']","['<arg1>demonstrators have file for a permit</arg1> <arg0><sig0>to</sig0> defend a drum up on sabbatum in yuen long</arg0> , the territory on the outskirt of hong kong where piles of disguised human tail and ticktock commuter train and dissenter with wooden rod and metallic perch , give at to the lowest degree xlv multitude in infirmary ', 'demonstrators have file for a allow to defend a drum up on sabbatum in yuen prospicient , the territory on the outskirt of hong kong where <arg0>dozens of disguised human tail and ticktock commuter train and dissenter with wooden rod and metallic rods</arg0> , <arg1><sig0>leaving</sig0> at to the lowest degree xlv multitude in hospital</arg1> ']",2
cnc,train_1005_10005,10005,0,cnc_train_105_1005_10005_10,"['demonstrators have filed for a permit to hold a rally on saturday in yuen long , the district on the outskirts of hong kong where dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods , leaving at least 45 people in hospital ', 'demonstrators have filed for a permit to hold a rally on saturday in yuen long , the district on the outskirts of hong kong where dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods , leaving at least 45 people in hospital ']","['<arg1>demonstrators have filed for a permit</arg1> <arg0><sig0>to</sig0> hold a rally on saturday in yuen long</arg0> , the district on the outskirts of hong kong where dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods , leaving at least 45 people in hospital ', 'demonstrators have filed for a permit to hold a rally on saturday in yuen long , the district on the outskirts of hong kong where <arg0>dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods</arg0> , <arg1><sig0>leaving</sig0> at least 45 people in hospital</arg1> ']",2
cnc,train_1006_10006,10006,0,cnc_train_106_1006_10006_10,"['footage issue of along further bar the attack , encourage which included a pregnant woman issue being ferocity type a hit , protesters being punched exclaim along on and kneed , and commuters include outcry cut screaming and crying bar while atomic number trying to bar shield themselves , emerged include lawmaker on sunday legal profession night import , fuelling further political unrest as demonstrators outcry spell screeching , opposition lawmakers and issue outcry others demanded answers issuing solution from ferocity authorities for failing to import stop further the violence dissident solvent ', 'footage of the attack , which include included a beingness pregnant screen woman being hit outcry , cut solution protesters being punched and foeman kneed , and commuters screaming and crying while trying to attempt issue shield along themselves , emerged bar on encourage sunday night reach , fuelling cut further political unrest as demonstrators , beingness opposition screen lawmakers and others screeching demanded answers from authorities commuter train for failing issue to stop the issuing legal profession violence legal profession foeman ask ']","['<arg0>footage issue of along further bar the attack , encourage which included a pregnant woman issue being ferocity type a hit , protesters being punched exclaim along on and kneed , and commuters include outcry cut screaming and crying bar while atomic number trying to bar shield themselves , emerged include lawmaker on sunday legal profession night</arg0> import , <arg1><sig0>fuelling</sig0> further political unrest</arg1> as demonstrators outcry spell screeching , opposition lawmakers and issue outcry others demanded answers issuing solution from ferocity authorities for failing to import stop further the violence dissident solvent ', 'footage of the attack , which include included a beingness pregnant screen woman being hit outcry , cut solution protesters being punched and foeman kneed , and commuters screaming and crying while trying to attempt issue shield along themselves , emerged bar on encourage sunday night reach , fuelling cut further political unrest as <arg1>demonstrators , beingness opposition screen lawmakers and others screeching demanded answers from authorities</arg1> commuter train <sig0>for</sig0> <arg0>failing issue to stop the issuing legal profession violence</arg0> legal profession foeman ask ']",2
cnc,train_1007_10007,10007,0,cnc_train_107_1007_10007_10,"['footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on sunday night , fuelling further political unrest as demonstrators , opposition lawmakers and others demanded answers from authorities for failing to stop the violence ', 'footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on sunday night , fuelling further political unrest as demonstrators , opposition lawmakers and others demanded answers from authorities for failing to stop the violence ']","['<arg0>footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on sunday night</arg0> , <arg1><sig0>fuelling</sig0> further political unrest</arg1> as demonstrators , opposition lawmakers and others demanded answers from authorities for failing to stop the violence ', 'footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on sunday night , fuelling further political unrest as <arg1>demonstrators , opposition lawmakers and others demanded answers from authorities</arg1> <sig0>for</sig0> <arg0>failing to stop the violence</arg0> ']",2
cnc,train_1008_10008,10008,0,cnc_train_108_1008_10008_10,['protesters are angry at the police s slow response to the attack in backside yuen long and make up their law pursuit reception interest stake of the atomic number reception interest case behind longsighted '],['<arg1>protesters are angry</arg1> <sig0>at</sig0> <arg0>the police s slow response to the attack in backside yuen long and make up their law pursuit reception interest stake of the atomic number reception interest case</arg0> behind longsighted '],1
cnc,train_1009_10009,10009,0,cnc_train_109_1009_10009_10,['protesters are angry at the police s slow response to the attack in yuen long and their pursuit of the case '],['<arg1>protesters are angry</arg1> <sig0>at</sig0> <arg0>the police s slow response to the attack in yuen long and their pursuit of the case</arg0> '],1
